lat,lon
66.72583,-17.70988
66.50584,-17.7062
66.50803,-17.7041
66.7104,-17.70362
66.52676,-17.70362
66.127741,-17.7027
66.12348,-17.700806
66.50787,-17.70075
66.70973,-17.68417
66.61607,-17.67558
66.55245,-17.66295
66.63062,-17.6479
66.34135,-17.61028
66.1538,-17.5902
66.33265,-17.56697
81.09,17.55
66.16264,-17.53288
66.078211,-17.523193
66.075891,-17.501221
66.075891,-17.501221
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.1,-17.5
66.21049,-17.49957
66.38848,-17.49567
66.29203,-17.47837
66.28672,-17.47043
66.28087,-17.46823
66.2299,-17.46147
66.28867,-17.45972
66.22764,-17.45162
66.29612,-17.43688
66.21111,-17.43162
66.22435,-17.42118
66.207,-17.41907
66.20552,-17.41035
66.20422,-17.40183
66.20216,-17.38964
66.28777,-17.38452
66.31423,-17.37422
66.31813,-17.37148
80.169808,17.134895
19.374,-17.07
52.03,168.94
-22.229549,166.523725
80.75,16.4
81.27,16.35
80.7975,16.0491
43.21,-158.13
-8.181629,156.78679
54.668833,-154.5815
53.956333,-152.931
54.000333,-152.885
53.954667,-152.871167
54.948167,-152.864333
53.936,-152.840333
53.933833,-152.7655
54.899667,-152.747167
53.739833,-152.230833
53.656833,-152.0255
53.764333,-151.896333
57.09,-151.62
54.256667,-150.570667
77.0,15.85
76.958635,15.717217
80.069452,15.658987
80.069452,15.658987
80.069452,15.658987
80.210262,15.60505
80.200278,15.579445
78.293519,15.439959
78.394167,15.409444
78.363667,15.294167
78.286568,15.266943
76.930555,15.062256
58.258833,-148.589333
56.430288,-146.203372
13.23168,144.65261
55.979867,-144.573285
56.317497,-144.571472
58.55,-144.56
58.65,-144.41
55.811758,-143.92671
-39.207,143.364
-38.927,143.303
-39.367,143.267
-39.367,143.25
-39.41,143.237
-39.383,143.233
-39.156,143.203
-39.194,143.196
-39.035,143.186
-38.846,143.18
-39.247,143.164
-39.159,143.141
-39.133,143.13
-39.086,143.123
-39.116,143.108
-38.967,143.1
-39.325,143.094
-39.382,143.086
-39.225,143.068
-38.978,143.067
-39.217,143.051
-39.074,143.043
-39.063,143.04
-39.056,143.027
-39.089,143.024
-39.191,143.02
-38.794,143.005
-38.941,142.994
-39.36,142.98
-38.972,142.95
-39.267,142.937
-38.9,142.917
-39.025,142.896
-38.795,142.893
-39.008,142.886
-39.245,142.845
-38.952,142.839
-38.968,142.831
-39.129,142.825
-39.027,142.822
-39.215,142.82
-39.064,142.808
-39.02,142.778
-38.991,142.764
-38.784,142.761
59.28,-142.76
-38.813,142.753
-38.624,142.738
-39.14,142.725
-38.746,142.718
-38.842,142.717
-38.926,142.679
-38.716,142.679
-38.877,142.66
-39.037,142.656
-38.926,142.652
-38.983,142.651
-38.889,142.643
-38.83,142.641
-38.872,142.633
-39.029,142.626
-38.79,142.621
-38.783,142.617
-38.733,142.617
-38.745,142.608
-38.767,142.6
-38.575,142.598
-38.837,142.592
-38.549,142.572
-38.82,142.567
-39.12,142.563
-38.638,142.561
-38.733,142.55
-38.605,142.542
-38.655,142.539
-38.562,142.517
-38.685,142.513
-38.638,142.51
-38.458,142.492
-38.72261,142.48506
-38.806,142.479
-38.482,142.467
-38.99,142.463
-38.903,142.462
-38.81,142.462
-38.664,142.459
-38.782,142.455
-38.498,142.443
-38.604,142.43
-38.855,142.42
-38.88951,142.41121
-38.93153,142.4022
-38.653,142.385
-38.533,142.383
-38.909,142.38
-38.575,142.379
-38.92273,142.37773
-38.611,142.375
-38.931,142.37
-38.922,142.363
-38.675,142.362
-38.76978,142.34584
-38.78396,142.34162
-38.742,142.332
-38.75,142.325
-38.448,142.324
-38.732,142.307
-38.769,142.306
-38.79,142.28
-38.598,142.25172
-38.618,142.241
-38.71,142.24
-38.561,142.231
-38.642,142.215
-38.84,142.208
-38.807,142.198
55.992728,-142.194385
-38.693,142.191
-38.825,142.162
-38.73,142.151
-38.505,142.128
-38.786,142.127
-38.55,142.125
-38.819,142.114
-38.488,142.077
-38.739,142.035
-38.595,142.029
-38.805,142.025
-38.652,142.02
-38.75,141.998
-38.693,141.998
-38.472,141.984
-38.558,141.977
-38.465,141.962
-38.544,141.951
-38.389,141.945
-38.813,141.944
-38.628,141.918
-38.571,141.9
-38.567,141.9
-38.601,141.894
-38.773,141.85
-38.43,141.842
-38.526,141.826
-38.505,141.823
-38.506,141.812
-38.548,141.8
-38.526,141.793
-38.556,141.787
-38.705,141.785
-38.55,141.78
-38.542,141.772
-38.509,141.748
-38.595,141.722
-38.475,141.721
-38.449,141.71
-38.544,141.678
-38.52,141.668
-38.59,141.652
-38.611,141.605
-38.64764,141.58472
-38.601,141.562
-38.504,141.495
-38.502,141.395
-38.552,141.387
-38.575,141.383
-38.485,141.382
-38.59,141.371
-38.586,141.37
-38.696,141.369
-38.515,141.367
-38.502,141.361
-38.602,141.348
-38.527,141.347
-38.515,141.337
-38.523,141.327
-38.592,141.322
-38.552,141.31
-38.383,141.305
-38.558,141.298
-38.577,141.295
-38.395,141.287
-38.383,141.267
-38.392,141.26
-38.4,141.256
-38.528,141.247
-38.377,141.245
-38.407,141.242
-38.443,141.237
-38.486,141.236
-38.479,141.235
-38.498,141.234
-38.471,141.233
-38.372,141.232
-38.377,141.23
-38.487,141.227
-38.488,141.222
-38.46442,141.22
-38.488,141.217
-38.533,141.216
-38.52,141.193
-38.341,141.182
-38.261,141.182
-38.353,141.151
-38.377,141.149
-38.359,141.144
-38.4,141.133
-38.383,141.133
-38.40295,141.123
-38.383,141.117
-38.43,141.113
-38.24,141.085
-38.235,141.073
-38.475,141.032
-38.345,141.023
-38.35,141.011
-38.4,141.005
-38.332,141.005
-38.308,141.0
-38.414,140.999
-38.375,140.98
-38.357,140.97
-38.388,140.967
-38.308,140.925
-38.3085,140.8938
-38.23,140.888
-38.343,140.873
-38.237,140.868
-38.238,140.865
-38.208,140.86
-38.348,140.852
-38.368,140.85
-38.352,140.848
-38.228,140.847
-38.388,140.845
-38.185,140.843
-38.183,140.837
-38.385,140.835
-38.332,140.832
-38.398,140.831
-38.243,140.823
-38.235,140.79
-38.23,140.79
-38.295,140.787
-38.233,140.785
-38.195,140.768
-38.327,140.764
-38.34,140.754
-38.3168,140.749
-38.29,140.748
-38.311,140.745
-38.329,140.743
-38.207,140.73
-38.24,140.725
-38.303,140.7085
-38.21,140.657
-38.16,140.654
-38.19,140.651
-38.233,140.65
-38.216,140.648
-38.13,140.615
-38.272,140.593
-38.155,140.577
-38.125,140.572
-38.091,140.555
-38.16,140.547
-38.123,140.545
